prefixed_target_ID	protein_ID	MAG_ID	source_class	curated_or_blind_group	IdrA_bitscore	IdrA_hmm_coverage_pct	IdrA_protein_coverage_pct	AioA_bitscore	AioA_hmm_coverage_pct	AioA_protein_coverage_pct	combined_bitscore	combined_hmm_coverage_pct	combined_protein_coverage_pct	nearest_reference_ID	nearest_reference_group	patristic_distance	tree_based_conservative_note	Final_class	class_color	Confidence	classification_rule	strict_synteny_QC_pass	neighborhood_class	B_related_gene	B_related_family	P_like_count	P_like_genes
SY457BB-0-4_bin2|SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2-k141_509701_9	SY457BB-0-4_bin2	core49_T640_intersection	IdrA phylogenetic	1386.1	99.7752808988764	98.783185840708	470	99.1812865497076	94.5796460176991	965.1	99.6555683122847	98.5619469026549	VibritapetIdrA	IdrA reference	0.5234586034	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY457BB-0-4_bin2-k141_509701_8	IdrB_related	2	SY457BB-0-4_bin2-k141_509701_6;SY457BB-0-4_bin2-k141_509701_7
SY457BB-0-4_bin20|SY457BB-0-4_bin20-k141_675426_1	SY457BB-0-4_bin20-k141_675426_1	SY457BB-0-4_bin20	T640_new_blind_candidate	blind_unclassified	696.7	73.0337078651685	99.21875	363.6	75.0877192982456	98.125	602.5	77.6119402985075	99.21875	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown-clade reference	1.1618156255	Nearest reference group: Unknown-clade reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Unknown DMSOR clade	#D55E00	Medium	new T640 candidate; unknown-clade tree placement; neighborhood shown but not used as final functional proof	no	unresolved/truncated neighborhood	SY457BB-0-4_bin20-k141_675426_2	IdrB_related	0	
SY457BB-0-4_bin35|SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35-k141_455312_8	SY457BB-0-4_bin35	core49_T640_intersection	DIRM-synteny IdrA	1399.6	99.6629213483146	99.552071668533	455.5	99.0643274853801	97.7603583426652	982.4	99.4259471871412	99.2161254199328	RuegerinterIdrA	IdrA reference	0.0749253827	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY457BB-0-4_bin35-k141_455312_7	IdrB_related	2	SY457BB-0-4_bin35-k141_455312_4;SY457BB-0-4_bin35-k141_455312_6
SY457BB-0-4_bin6|SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6	core49_T640_intersection	DIRM-synteny IdrA	1391.3	99.6629213483146	99.5515695067264	463.4	98.7134502923977	94.9551569506726	989.2	99.3111366245695	99.1031390134529	RuegerinterIdrA	IdrA reference	0.2944448039	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY457BB-0-4_bin6-k141_196093_82	IdrB_related	2	SY457BB-0-4_bin6-k141_196093_80;SY457BB-0-4_bin6-k141_196093_81
SY457BB-4-8_bin29|SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29	core49_T640_intersection	DIRM-synteny IdrA	1383.8	99.6629213483146	99.4400895856663	450.2	98.7134502923977	94.8488241881299	982.2	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3940203951	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY457BB-4-8_bin29-k141_12975_6	IdrB_related	2	SY457BB-4-8_bin29-k141_12975_4;SY457BB-4-8_bin29-k141_12975_5
SY457BB-4-8_bin33|SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33	core49_T640_intersection	DIRM-synteny IdrA	1390.6	99.7752808988764	99.6636771300448	467.3	98.5964912280702	94.8430493273543	989.2	99.3111366245695	99.1031390134529	RuegerinterIdrA	IdrA reference	0.3252105903	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY457BB-4-8_bin33-k141_110702_28	IdrB_related	2	SY457BB-4-8_bin33-k141_110702_29;SY457BB-4-8_bin33-k141_110702_30
SY457BB-8-12_bin10|SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10	core49_T640_intersection	IdrA phylogenetic	1381.5	99.5505617977528	99.3281075027996	452.3	98.2456140350877	94.4008958566629	981.5	99.3111366245695	98.9921612541993	RuegerinterIdrA	IdrA reference	0.3476262304	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY457BB-8-12_bin10-k141_377897_2	IdrB_related	0	
SY457BB-8-12_bin15|SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15	core49_T640_intersection	DIRM-synteny IdrA	1395.4	99.6629213483146	99.4400895856663	462.7	98.7134502923977	94.8488241881299	994.3	99.3111366245695	98.9921612541993	RuegerinterIdrA	IdrA reference	0.3903463482	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY457BB-8-12_bin15-k141_1498167_39	IdrB_related	2	SY457BB-8-12_bin15-k141_1498167_40;SY457BB-8-12_bin15-k141_1498167_41
SY457BB-8-12_bin16|SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16	core49_T640_intersection	IdrA phylogenetic	1394.8	99.6629213483146	99.2178770949721	460	98.8304093567251	94.7486033519553	992.4	99.4259471871412	98.8826815642458	RuegerinterIdrA	IdrA reference	0.4037654148	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	unresolved/truncated neighborhood			0	
SY457BB-8-12_bin25|SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25	core49_T640_intersection	DIRM-synteny IdrA	1388.8	99.6629213483146	99.4400895856663	462.2	98.7134502923977	94.8488241881299	990.7	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3938833994	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY457BB-8-12_bin25-k141_129537_11	IdrB_related	2	SY457BB-8-12_bin25-k141_129537_9;SY457BB-8-12_bin25-k141_129537_10
SY457BB-8-12_bin4|SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4	core49_T640_intersection	DIRM-synteny IdrA	1391.3	99.6629213483146	99.4400895856663	460.2	98.9473684210526	95.1847704367301	991	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3740019464	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY457BB-8-12_bin4-k141_1432391_4	IdrB_related	2	SY457BB-8-12_bin4-k141_1432391_2;SY457BB-8-12_bin4-k141_1432391_3
SY459WG-0-4_bin26|SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26	core49_T640_intersection	Uncertain DMSOR	856.7	99.3258426966292	98.4412470023981	481	96.0233918128655	97.242206235012	787.4	99.4259471871412	98.4412470023981	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown-clade reference	1.1725392957	Nearest reference group: Unknown-clade reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Unknown DMSOR clade	#D55E00	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY459WG-0-4_bin26-k141_460220_1	IdrB_related	0	
SY459WG-0-4_bin37|SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37	core49_T640_intersection	DIRM-synteny IdrA	1391.1	99.5505617977528	99.3281075027996	470.3	98.8304093567251	94.9608062709966	994.7	99.4259471871412	99.1041433370661	RuegerinterIdrA	IdrA reference	0.3585534502	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY459WG-0-4_bin37-k141_569169_32	IdrB_related	2	SY459WG-0-4_bin37-k141_569169_33;SY459WG-0-4_bin37-k141_569169_34
SY459WG-4-8_bin39|SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39	core49_T640_intersection	Uncertain DMSOR	896.1	96.5168539325843	98.6714975845411	510.2	98.5964912280702	98.1884057971014	806	98.8518943742824	98.5507246376812	ISMEJFig5|Unknown_clade|MBT97654.1|Dehalococcoidia_bacterium	Unknown-clade reference	1.0612063427	Nearest reference group: Unknown-clade reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	Unknown DMSOR clade	#D55E00	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY459WG-4-8_bin39-k141_681176_50	IdrB_related	0	
SY459WG-4-8_bin8|SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8	core49_T640_intersection	IdrA phylogenetic	1381.2	99.7752808988764	98.783185840708	463.7	99.1812865497076	94.5796460176991	957.3	99.6555683122847	98.5619469026549	VibritapetIdrA	IdrA reference	0.552020003	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY459WG-4-8_bin8-k141_320908_39	IdrB_related	2	SY459WG-4-8_bin8-k141_320908_40;SY459WG-4-8_bin8-k141_320908_41
SY459WG-8-12_bin19|SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19	core49_T640_intersection	IdrA phylogenetic	1364.2	99.5505617977528	99.3273542600897	456.2	98.8304093567251	94.9551569506726	978.8	99.4259471871412	99.1031390134529	RuegerinterIdrA	IdrA reference	0.3201697168	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA-associated clade	#0072B2	Medium	retained from strict-QC 49-protein evidence table	no	partial DIRM-like neighborhood	SY459WG-8-12_bin19-k141_364478_6	IdrB_related	1	SY459WG-8-12_bin19-k141_364478_7
SY459WG-8-12_bin2|SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2	core49_T640_intersection	DIRM-synteny IdrA	1384.4	99.438202247191	99.2161254199328	462.8	98.8304093567251	94.9608062709966	988.4	99.3111366245695	98.9921612541993	RuegerinterIdrA	IdrA reference	0.4047797498	Nearest reference group: IdrA reference; phylogenetic placement alone is not a final functional assignment; gene-neighborhood validation required.	IdrA clade	#7B3294	High	retained from strict-QC 49-protein evidence table	yes	complete DIRM-like neighborhood	SY459WG-8-12_bin2-k141_281775_92	IdrB_related	2	SY459WG-8-12_bin2-k141_281775_93;SY459WG-8-12_bin2-k141_281775_94
