prefixed_target_ID	protein_ID	MAG_ID	source_class	curated_or_blind_group	IdrA_full_evalue	IdrA_bitscore	IdrA_full_bias	IdrA_domain_count	IdrA_best_domain_bitscore	IdrA_best_domain_i_evalue	IdrA_hmm_length	IdrA_protein_length	IdrA_hmm_coverage_pct	IdrA_protein_coverage_pct	IdrA_best_hmm_from	IdrA_best_hmm_to	IdrA_best_ali_from	IdrA_best_ali_to	AioA_full_evalue	AioA_bitscore	AioA_full_bias	AioA_domain_count	AioA_best_domain_bitscore	AioA_best_domain_i_evalue	AioA_hmm_length	AioA_protein_length	AioA_hmm_coverage_pct	AioA_protein_coverage_pct	AioA_best_hmm_from	AioA_best_hmm_to	AioA_best_ali_from	AioA_best_ali_to	combined_full_evalue	combined_bitscore	combined_full_bias	combined_domain_count	combined_best_domain_bitscore	combined_best_domain_i_evalue	combined_hmm_length	combined_protein_length	combined_hmm_coverage_pct	combined_protein_coverage_pct	combined_best_hmm_from	combined_best_hmm_to	combined_best_ali_from	combined_best_ali_to	IdrA_minus_AioA_bitscore	normalized_IdrA_bitscore	normalized_AioA_bitscore	normalized_delta_bitscore
SY457BB-0-4_bin6|SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6-k141_196093_82	SY457BB-0-4_bin6	core49_T640_intersection	DIRM-synteny IdrA	0.0	1391.3	10.9	1	1391.2	0.0	890	892	99.66292134831461	99.55156950672645	4	890	4	891	3.9e-141	463.4	5.4	2	436.1	7.3e-133	855	892	98.71345029239767	94.95515695067265	6	779	9	783	5.1e-300	989.2	5.4	1	988.9	6.3e-300	871	892	99.31113662456946	99.10313901345292	5	869	7	890	927.9	1.5597533632286995	0.519506726457399	1.0402466367713004
SY457BB-4-8_bin29|SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29-k141_12975_7	SY457BB-4-8_bin29	core49_T640_intersection	DIRM-synteny IdrA	0.0	1383.8	11.0	1	1383.6	0.0	890	893	99.66292134831461	99.4400895856663	4	890	4	891	4e-137	450.2	6.6	2	423.0	6.6e-129	855	893	98.71345029239767	94.8488241881299	6	779	9	783	7e-298	982.2	4.6	1	981.9	8.7e-298	871	893	99.42594718714122	99.10414333706606	5	870	7	891	933.5999999999999	1.5496080627099664	0.5041433370660694	1.045464725643897
SY457BB-4-8_bin33|SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33	core49_T640_intersection	DIRM-synteny IdrA	0.0	1390.6	9.3	1	1390.4	0.0	890	892	99.7752808988764	99.66367713004485	3	890	3	891	2.6e-142	467.3	5.7	2	438.4	1.4e-133	855	892	98.59649122807018	94.84304932735427	6	779	9	783	5.2e-300	989.2	4.4	1	988.9	6.5e-300	871	892	99.31113662456946	99.10313901345292	5	869	7	890	923.3	1.5589686098654707	0.5238789237668161	1.0350896860986547
SY457BB-8-12_bin10|SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10	core49_T640_intersection	IdrA phylogenetic	0.0	1381.5	9.7	1	1381.3	0.0	890	893	99.5505617977528	99.32810750279955	5	890	5	891	8.8e-138	452.3	4.9	2	427.1	3.7e-130	855	893	98.24561403508773	94.40089585666293	7	776	10	780	1.1e-297	981.5	3.2	1	981.2	1.3e-297	871	893	99.31113662456946	98.99216125419933	6	870	8	891	929.2	1.5470324748040314	0.506494960806271	1.0405375139977604
SY457BB-8-12_bin15|SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15	core49_T640_intersection	DIRM-synteny IdrA	0.0	1395.4	10.6	1	1395.2	0.0	890	893	99.66292134831461	99.4400895856663	4	890	4	891	6.4e-141	462.7	8.0	2	439.2	8.5e-134	855	893	98.71345029239767	94.8488241881299	6	779	9	783	1.5e-301	994.3	4.9	1	994.0	1.8e-301	871	893	99.31113662456946	98.99216125419933	5	869	7	890	932.7	1.5625979843225084	0.5181410974244121	1.0444568868980963
SY457BB-8-12_bin16|SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16	core49_T640_intersection	IdrA phylogenetic	0.0	1394.8	10.2	1	1394.6	0.0	890	895	99.66292134831461	99.21787709497207	4	890	6	893	4.3e-140	460.0	6.6	2	433.1	5.8e-132	855	895	98.83040935672514	94.74860335195531	6	779	11	785	5.7e-301	992.4	4.4	1	992.2	6.5e-301	871	895	99.42594718714122	98.88268156424581	5	870	9	893	934.8	1.558435754189944	0.5139664804469274	1.0444692737430168
SY457BB-8-12_bin25|SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25	core49_T640_intersection	DIRM-synteny IdrA	0.0	1388.8	14.3	1	1388.6	0.0	890	893	99.66292134831461	99.4400895856663	4	890	4	891	9.5e-141	462.2	11.4	2	436.0	7.5e-133	855	893	98.71345029239767	94.8488241881299	6	779	9	783	1.9e-300	990.7	8.7	1	990.4	2.3e-300	871	893	99.42594718714122	99.10414333706606	5	870	7	891	926.5999999999999	1.5552071668533034	0.5175811870100784	1.037625979843225
SY457BB-8-12_bin4|SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4	core49_T640_intersection	DIRM-synteny IdrA	0.0	1391.3	11.4	1	1391.1	0.0	890	893	99.66292134831461	99.4400895856663	4	890	4	891	3.7e-140	460.2	5.7	2	432.1	1.2e-131	855	893	98.94736842105263	95.18477043673012	6	779	9	783	1.5e-300	991.0	5.0	1	990.7	1.8e-300	871	893	99.42594718714122	99.10414333706606	5	870	7	891	931.0999999999999	1.558006718924972	0.5153415453527436	1.0426651735722283
SY459WG-0-4_bin26|SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26	core49_T640_intersection	Uncertain DMSOR	5.5e-260	856.7	4.9	1	844.8	2.3e-256	890	834	99.32584269662921	98.44124700239809	6	889	11	831	1.9e-146	481.0	0.6	2	306.8	8.7e-94	855	834	96.0233918128655	97.24220623501199	277	853	258	831	5e-239	787.4	0.1	1	787.2	6.2e-239	871	834	99.42594718714122	98.44124700239809	5	870	12	832	375.70000000000005	1.0272182254196642	0.5767386091127098	0.4504796163069545
SY459WG-0-4_bin37|SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37	core49_T640_intersection	DIRM-synteny IdrA	0.0	1391.1	8.1	1	1390.9	0.0	890	893	99.5505617977528	99.32810750279955	4	889	4	890	3.3e-143	470.3	5.0	2	440.7	2.9e-134	855	893	98.83040935672514	94.96080627099664	6	779	9	783	1.2e-301	994.7	2.9	1	994.4	1.5e-301	871	893	99.42594718714122	99.10414333706606	5	870	7	891	920.8	1.5577827547592384	0.5266517357222844	1.031131019036954
SY459WG-4-8_bin39|SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39	core49_T640_intersection	Uncertain DMSOR	7.3e-272	896.1	0.0	2	852.4	1.1e-258	890	828	96.51685393258427	98.67149758454106	10	791	6	746	2.8e-155	510.2	0.0	1	501.3	1.4e-152	855	828	98.59649122807018	98.18840579710145	9	851	8	820	1.2e-244	806.0	0.0	1	805.6	1.6e-244	871	828	98.85189437428244	98.55072463768116	9	869	7	822	385.90000000000003	1.0822463768115942	0.616183574879227	0.4660628019323672
SY459WG-4-8_bin8|SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8	core49_T640_intersection	IdrA phylogenetic	0.0	1381.2	13.3	1	1380.9	0.0	890	904	99.7752808988764	98.78318584070796	3	890	10	902	3.2e-141	463.7	7.9	2	445.6	9.3e-136	855	904	99.18128654970761	94.57964601769912	3	780	13	795	2.3e-290	957.3	8.3	1	957.1	2.7e-290	871	904	99.65556831228473	98.56194690265487	3	870	12	902	917.5	1.5278761061946904	0.5129424778761061	1.0149336283185841
SY459WG-8-12_bin19|SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19	core49_T640_intersection	IdrA phylogenetic	0.0	1364.2	13.0	1	1364.0	0.0	890	892	99.5505617977528	99.32735426008969	4	889	4	889	6.1e-139	456.2	11.7	2	429.5	7.2e-131	855	892	98.83040935672514	94.95515695067265	6	779	9	782	7.5e-297	978.8	7.8	1	978.5	9.3e-297	871	892	99.42594718714122	99.10313901345292	5	870	7	890	908.0	1.529372197309417	0.5114349775784753	1.0179372197309418
SY459WG-8-12_bin2|SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2	core49_T640_intersection	DIRM-synteny IdrA	0.0	1384.4	13.7	1	1384.2	0.0	890	893	99.43820224719101	99.21612541993281	5	889	5	890	6.3e-141	462.8	11.3	2	435.6	1.1e-132	855	893	98.83040935672514	94.96080627099664	7	779	10	783	9e-300	988.4	8.9	1	988.2	1.1e-299	871	893	99.31113662456946	98.99216125419933	6	870	8	891	921.6000000000001	1.5502799552071669	0.5182530795072788	1.0320268756998883
