candidate_id	contig_id	A_gene_id	A_start	A_end	A_strand	A_partial	B_hit_id	B_start	B_end	B_strand	B_partial	B_ref_family	B_reference_hit	B_bitscore	B_qcov_pct	P_like_1_id	P_like_1_start	P_like_1_end	P_like_1_strand	P_like_1_partial	P_like_1_reference_hit	P_like_1_bitscore	P_like_1_qcov_pct	P_like_2_id	P_like_2_start	P_like_2_end	P_like_2_strand	P_like_2_partial	P_like_2_reference_hit	P_like_2_bitscore	P_like_2_qcov_pct	relative_gene_order	strand_pattern	distinct_P_like_count	same_contig	maximum_gene_gap	arrow_plot_visible	coordinates_non_overlapping	protein_lengths_reasonable	QC_pass	QC_fail_reasons	strict_neighborhood_class	strict_neighborhood_class_revised
SY457BB-4-8_bin33-k141_110702_26	SY457BB-4-8_bin33-k141_110702	SY457BB-4-8_bin33_SY457BB-4-8_bin33-k141_110702_26	26419	29094	-	00	SY457BB-4-8_bin33_SY457BB-4-8_bin33-k141_110702_27	29106	29693	-	00	IdrB_related	IdrB_TIER2|GCA_002731375.1|MBV37768.1	298	99.49	SY457BB-4-8_bin33_SY457BB-4-8_bin33-k141_110702_28	29707	30864	-	00	IdrP_like_TIER2|GCA_002897995.1|GBE44174.1	658	99.74	SY457BB-4-8_bin33_SY457BB-4-8_bin33-k141_110702_29	30875	31981	-	00	IdrP_like_TIER2|GCA_002897995.1|GBE44175.1	564	100.00	A26(-)-B27(-)-P1like28(-)-P2like29(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY457BB-8-12_bin10-k141_377897_3	SY457BB-8-12_bin10-k141_377897	SY457BB-8-12_bin10_SY457BB-8-12_bin10-k141_377897_3	828	3506	+	00	SY457BB-8-12_bin10_SY457BB-8-12_bin10-k141_377897_2	237	815	+	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	323	93.78																	B2(+)-A3(+)	B:+;A:+	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY457BB-8-12_bin15-k141_1498167_38	SY457BB-8-12_bin15-k141_1498167	SY457BB-8-12_bin15_SY457BB-8-12_bin15-k141_1498167_38	34524	37202	-	00	SY457BB-8-12_bin15_SY457BB-8-12_bin15-k141_1498167_39	37215	37796	-	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	324	99.48	SY457BB-8-12_bin15_SY457BB-8-12_bin15-k141_1498167_40	37817	38959	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	652	100.52	SY457BB-8-12_bin15_SY457BB-8-12_bin15-k141_1498167_41	38975	40168	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	637	93.72	A38(-)-B39(-)-P1like40(-)-P2like41(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY457BB-8-12_bin16-k141_1142550_1	SY457BB-8-12_bin16-k141_1142550	SY457BB-8-12_bin16_SY457BB-8-12_bin16-k141_1142550_1	3	2687	+	10																										A1(+)	A:+	0	yes		yes	yes	no	no	missing_B_related_hit;fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa;B_length_outside_50_350aa;support_genes_not_compact_max_gap_gt3	unresolved/truncated neighborhood	unresolved/truncated neighborhood
SY457BB-8-12_bin25-k141_129537_12	SY457BB-8-12_bin25-k141_129537	SY457BB-8-12_bin25_SY457BB-8-12_bin25-k141_129537_12	10289	12967	+	00	SY457BB-8-12_bin25_SY457BB-8-12_bin25-k141_129537_11	9710	10276	+	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	331	95.77	SY457BB-8-12_bin25_SY457BB-8-12_bin25-k141_129537_9	7415	8536	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	623	99.73	SY457BB-8-12_bin25_SY457BB-8-12_bin25-k141_129537_10	8552	9685	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	655	100.53	P1like9(+)-P2like10(+)-B11(+)-A12(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY457BB-8-12_bin4-k141_1432391_5	SY457BB-8-12_bin4-k141_1432391	SY457BB-8-12_bin4_SY457BB-8-12_bin4-k141_1432391_5	3548	6226	+	00	SY457BB-8-12_bin4_SY457BB-8-12_bin4-k141_1432391_4	2954	3535	+	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	316	99.48	SY457BB-8-12_bin4_SY457BB-8-12_bin4-k141_1432391_2	656	1777	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	626	99.73	SY457BB-8-12_bin4_SY457BB-8-12_bin4-k141_1432391_3	1789	2931	+	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	663	100.52	P1like2(+)-P2like3(+)-B4(+)-A5(+)	P1like:+;P2like:+;B:+;A:+	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY459WG-0-4_bin26-k141_460220_2	SY459WG-0-4_bin26-k141_460220	SY459WG-0-4_bin26_SY459WG-0-4_bin26-k141_460220_2	543	3044	+	00	SY459WG-0-4_bin26_SY459WG-0-4_bin26-k141_460220_1	1	546	+	10	IdrB_related	IdrB_TIER2|GCA_003486975.1|HAY10015.1	153	91.76																	B1(+)-A2(+)	B:+;A:+	0	yes	1	yes	no	no	no	fewer_than_two_distinct_P_like_genes;overlapping_support_gene_coordinates;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY459WG-0-4_bin37-k141_569169_31	SY459WG-0-4_bin37-k141_569169	SY459WG-0-4_bin37_SY459WG-0-4_bin37-k141_569169_31	31747	34425	-	00	SY459WG-0-4_bin37_SY459WG-0-4_bin37-k141_569169_32	34440	35021	-	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	308	99.48	SY459WG-0-4_bin37_SY459WG-0-4_bin37-k141_569169_33	35043	36179	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	640	100.26	SY459WG-0-4_bin37_SY459WG-0-4_bin37-k141_569169_34	36194	37312	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	580	100.27	A31(-)-B32(-)-P1like33(-)-P2like34(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
SY459WG-4-8_bin39-k141_681176_50	SY459WG-4-8_bin39-k141_681176	SY459WG-4-8_bin39_SY459WG-4-8_bin39-k141_681176_50	60443	62926	-	00	SY459WG-4-8_bin39_SY459WG-4-8_bin39-k141_681176_51	62929	63549	-	00	IdrB_related	IdrB_TIER2|GCA_003628555.1|AYH44093.1	140	60.39																	A50(-)-B51(-)	A:-;B:-	0	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY459WG-4-8_bin8-k141_320908_36	SY459WG-4-8_bin8-k141_320908	SY459WG-4-8_bin8_SY459WG-4-8_bin8-k141_320908_36	35154	37865	-	00	SY459WG-4-8_bin8_SY459WG-4-8_bin8-k141_320908_37	37877	38491	-	00	IdrB_related	IdrB_TIER2|GCA_000785145.2|KHD08441.1	249	88.78	SY459WG-4-8_bin8_SY459WG-4-8_bin8-k141_320908_38	38488	39678	-	00	IdrP_like_TIER2|GCA_003660225.1|RLJ20877.1	543	101.01	SY459WG-4-8_bin8_SY459WG-4-8_bin8-k141_320908_39	39694	40812	-	00	IdrP_like_TIER2|GCA_000785145.2|KHD08439.1	503	98.66	A36(-)-B37(-)-P1like38(-)-P2like39(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	no	yes	no	overlapping_support_gene_coordinates	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY459WG-8-12_bin19-k141_364478_5	SY459WG-8-12_bin19-k141_364478	SY459WG-8-12_bin19_SY459WG-8-12_bin19-k141_364478_5	4043	6718	-	00	SY459WG-8-12_bin19_SY459WG-8-12_bin19-k141_364478_6	6739	7323	-	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	288	92.31	SY459WG-8-12_bin19_SY459WG-8-12_bin19-k141_364478_7	7336	7869	-	01	IdrP_like_TIER2|GCA_002732845.1|PHS79678.1	286	99.44									A5(-)-B6(-)-P1like7(-)	A:-;B:-;P1like:-	1	yes	1	yes	yes	no	no	fewer_than_two_distinct_P_like_genes;P_like_length_outside_150_700aa	partial DIRM-like neighborhood	partial DIRM-like neighborhood
SY459WG-8-12_bin2-k141_281775_92	SY459WG-8-12_bin2-k141_281775	SY459WG-8-12_bin2_SY459WG-8-12_bin2-k141_281775_92	87870	90548	-	00	SY459WG-8-12_bin2_SY459WG-8-12_bin2-k141_281775_93	90561	91142	-	00	IdrB_related	IdrB_TIER2|GCA_003544895.1|AXX96742.1	375	99.48	SY459WG-8-12_bin2_SY459WG-8-12_bin2-k141_281775_94	91165	92307	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96741.1	679	100.52	SY459WG-8-12_bin2_SY459WG-8-12_bin2-k141_281775_95	92325	93407	-	00	IdrP_like_TIER2|GCA_003544895.1|AXX96740.1	656	99.72	A92(-)-B93(-)-P1like94(-)-P2like95(-)	A:-;B:-;P1like:-;P2like:-	2	yes	1	yes	yes	yes	yes		complete DIRM-like neighborhood	complete DIRM-like neighborhood
